2025-10-21 01:42:26 install libssh2-1t64:amd64 <none> 1.11.1-1
2025-10-21 01:42:26 status half-installed libssh2-1t64:amd64 1.11.1-1
2025-10-21 01:42:26 status unpacked libssh2-1t64:amd64 1.11.1-1
2025-10-21 01:42:26 install libcurl4t64:amd64 <none> 8.14.1-2
2025-10-21 01:42:26 status half-installed libcurl4t64:amd64 8.14.1-2
2025-10-21 01:42:26 status unpacked libcurl4t64:amd64 8.14.1-2
2025-10-21 01:42:26 install curl:amd64 <none> 8.14.1-2
2025-10-21 01:42:26 status half-installed curl:amd64 8.14.1-2
2025-10-21 01:42:26 status unpacked curl:amd64 8.14.1-2
2025-10-21 01:42:26 install libgpg-error0:amd64 <none> 1.51-4
2025-10-21 01:42:26 status half-installed libgpg-error0:amd64 1.51-4
2025-10-21 01:42:26 status unpacked libgpg-error0:amd64 1.51-4
2025-10-21 01:42:26 install libassuan9:amd64 <none> 3.0.2-2
2025-10-21 01:42:26 status half-installed libassuan9:amd64 3.0.2-2
2025-10-21 01:42:26 status unpacked libassuan9:amd64 3.0.2-2
2025-10-21 01:42:26 install libgcrypt20:amd64 <none> 1.11.0-7
2025-10-21 01:42:26 status half-installed libgcrypt20:amd64 1.11.0-7
2025-10-21 01:42:26 status unpacked libgcrypt20:amd64 1.11.0-7
2025-10-21 01:42:26 install libreadline8t64:amd64 <none> 8.2-6
2025-10-21 01:42:26 status half-installed libreadline8t64:amd64 8.2-6
2025-10-21 01:42:26 status unpacked libreadline8t64:amd64 8.2-6
2025-10-21 01:42:26 install gpgconf:amd64 <none> 2.4.7-21+b3
2025-10-21 01:42:26 status half-installed gpgconf:amd64 2.4.7-21+b3
2025-10-21 01:42:26 status unpacked gpgconf:amd64 2.4.7-21+b3
2025-10-21 01:42:26 install libksba8:amd64 <none> 1.6.7-2+b1
2025-10-21 01:42:26 status half-installed libksba8:amd64 1.6.7-2+b1
2025-10-21 01:42:26 status unpacked libksba8:amd64 1.6.7-2+b1
2025-10-21 01:42:26 install libnpth0t64:amd64 <none> 1.8-3
2025-10-21 01:42:26 status half-installed libnpth0t64:amd64 1.8-3
2025-10-21 01:42:26 status unpacked libnpth0t64:amd64 1.8-3
2025-10-21 01:42:26 install dirmngr:amd64 <none> 2.4.7-21+b3
2025-10-21 01:42:26 status half-installed dirmngr:amd64 2.4.7-21+b3
2025-10-21 01:42:26 status unpacked dirmngr:amd64 2.4.7-21+b3
2025-10-21 01:42:26 install gnupg-l10n:all <none> 2.4.7-21
2025-10-21 01:42:26 status half-installed gnupg-l10n:all 2.4.7-21
2025-10-21 01:42:26 status unpacked gnupg-l10n:all 2.4.7-21
2025-10-21 01:42:27 install gpg:amd64 <none> 2.4.7-21+b3
2025-10-21 01:42:27 status half-installed gpg:amd64 2.4.7-21+b3
2025-10-21 01:42:27 status unpacked gpg:amd64 2.4.7-21+b3
2025-10-21 01:42:27 install libncursesw6:amd64 <none> 6.5+20250216-2
2025-10-21 01:42:27 status half-installed libncursesw6:amd64 6.5+20250216-2
2025-10-21 01:42:27 status unpacked libncursesw6:amd64 6.5+20250216-2
2025-10-21 01:42:27 install pinentry-curses:amd64 <none> 1.3.1-2
2025-10-21 01:42:27 status half-installed pinentry-curses:amd64 1.3.1-2
2025-10-21 01:42:27 status unpacked pinentry-curses:amd64 1.3.1-2
2025-10-21 01:42:27 install gpg-agent:amd64 <none> 2.4.7-21+b3
2025-10-21 01:42:27 status half-installed gpg-agent:amd64 2.4.7-21+b3
2025-10-21 01:42:27 status unpacked gpg-agent:amd64 2.4.7-21+b3
2025-10-21 01:42:27 install gpgsm:amd64 <none> 2.4.7-21+b3
2025-10-21 01:42:27 status half-installed gpgsm:amd64 2.4.7-21+b3
2025-10-21 01:42:27 status unpacked gpgsm:amd64 2.4.7-21+b3
2025-10-21 01:42:27 install gnupg:all <none> 2.4.7-21
2025-10-21 01:42:27 status half-installed gnupg:all 2.4.7-21
2025-10-21 01:42:27 status unpacked gnupg:all 2.4.7-21
2025-10-21 01:42:27 install sq:amd64 <none> 1.3.1-2+b1
2025-10-21 01:42:27 status half-installed sq:amd64 1.3.1-2+b1
2025-10-21 01:42:27 status unpacked sq:amd64 1.3.1-2+b1
2025-10-21 01:42:27 startup packages configure
2025-10-21 01:42:27 configure libnpth0t64:amd64 1.8-3 <none>
2025-10-21 01:42:27 status unpacked libnpth0t64:amd64 1.8-3
2025-10-21 01:42:27 status half-configured libnpth0t64:amd64 1.8-3
2025-10-21 01:42:27 status installed libnpth0t64:amd64 1.8-3
2025-10-21 01:42:27 configure libkeyutils1:amd64 1.6.3-6 <none>
2025-10-21 01:42:27 status unpacked libkeyutils1:amd64 1.6.3-6
2025-10-21 01:42:27 status half-configured libkeyutils1:amd64 1.6.3-6
2025-10-21 01:42:27 status installed libkeyutils1:amd64 1.6.3-6
2025-10-21 01:42:27 configure libgpg-error0:amd64 1.51-4 <none>
2025-10-21 01:42:27 status unpacked libgpg-error0:amd64 1.51-4
2025-10-21 01:42:27 status half-configured libgpg-error0:amd64 1.51-4
2025-10-21 01:42:27 status installed libgpg-error0:amd64 1.51-4
2025-10-21 01:42:27 configure libbrotli1:amd64 1.1.0-2+b7 <none>
2025-10-21 01:42:27 status unpacked libbrotli1:amd64 1.1.0-2+b7
2025-10-21 01:42:27 status half-configured libbrotli1:amd64 1.1.0-2+b7
2025-10-21 01:42:27 status installed libbrotli1:amd64 1.1.0-2+b7
2025-10-21 01:42:27 configure libnghttp2-14:amd64 1.64.0-1.1 <none>
2025-10-21 01:42:27 status unpacked libnghttp2-14:amd64 1.64.0-1.1
2025-10-21 01:42:27 status half-configured libnghttp2-14:amd64 1.64.0-1.1
2025-10-21 01:42:27 status installed libnghttp2-14:amd64 1.64.0-1.1
2025-10-21 01:42:27 configure libgcrypt20:amd64 1.11.0-7 <none>
2025-10-21 01:42:27 status unpacked libgcrypt20:amd64 1.11.0-7
2025-10-21 01:42:27 status half-configured libgcrypt20:amd64 1.11.0-7
2025-10-21 01:42:27 status installed libgcrypt20:amd64 1.11.0-7
2025-10-21 01:42:27 configure libcom-err2:amd64 1.47.2-3+b3 <none>
2025-10-21 01:42:27 status unpacked libcom-err2:amd64 1.47.2-3+b3
2025-10-21 01:42:27 status half-configured libcom-err2:amd64 1.47.2-3+b3
2025-10-21 01:42:27 status installed libcom-err2:amd64 1.47.2-3+b3
2025-10-21 01:42:27 configure sq:amd64 1.3.1-2+b1 <none>
2025-10-21 01:42:27 status unpacked sq:amd64 1.3.1-2+b1
2025-10-21 01:42:27 status half-configured sq:amd64 1.3.1-2+b1
2025-10-21 01:42:27 status installed sq:amd64 1.3.1-2+b1
2025-10-21 01:42:27 configure libkrb5support0:amd64 1.21.3-5 <none>
2025-10-21 01:42:27 status unpacked libkrb5support0:amd64 1.21.3-5
2025-10-21 01:42:27 status half-configured libkrb5support0:amd64 1.21.3-5
2025-10-21 01:42:27 status installed libkrb5support0:amd64 1.21.3-5
2025-10-21 01:42:27 configure libsasl2-modules-db:amd64 2.1.28+dfsg1-9 <none>
2025-10-21 01:42:27 status unpacked libsasl2-modules-db:amd64 2.1.28+dfsg1-9
2025-10-21 01:42:27 status half-configured libsasl2-modules-db:amd64 2.1.28+dfsg1-9
2025-10-21 01:42:27 status installed libsasl2-modules-db:amd64 2.1.28+dfsg1-9
2025-10-21 01:42:27 configure gnupg-l10n:all 2.4.7-21 <none>
2025-10-21 01:42:27 status unpacked gnupg-l10n:all 2.4.7-21
2025-10-21 01:42:27 status half-configured gnupg-l10n:all 2.4.7-21
2025-10-21 01:42:27 status installed gnupg-l10n:all 2.4.7-21
2025-10-21 01:42:27 configure libunistring5:amd64 1.3-2 <none>
2025-10-21 01:42:27 status unpacked libunistring5:amd64 1.3-2
2025-10-21 01:42:27 status half-configured libunistring5:amd64 1.3-2
2025-10-21 01:42:27 status installed libunistring5:amd64 1.3-2
2025-10-21 01:42:27 configure libncursesw6:amd64 6.5+20250216-2 <none>
2025-10-21 01:42:27 status unpacked libncursesw6:amd64 6.5+20250216-2
2025-10-21 01:42:27 status half-configured libncursesw6:amd64 6.5+20250216-2
2025-10-21 01:42:27 status installed libncursesw6:amd64 6.5+20250216-2
2025-10-21 01:42:27 configure libk5crypto3:amd64 1.21.3-5 <none>
2025-10-21 01:42:27 status unpacked libk5crypto3:amd64 1.21.3-5
2025-10-21 01:42:27 status half-configured libk5crypto3:amd64 1.21.3-5
2025-10-21 01:42:27 status installed libk5crypto3:amd64 1.21.3-5
2025-10-21 01:42:27 configure libsasl2-2:amd64 2.1.28+dfsg1-9 <none>
2025-10-21 01:42:27 status unpacked libsasl2-2:amd64 2.1.28+dfsg1-9
2025-10-21 01:42:27 status half-configured libsasl2-2:amd64 2.1.28+dfsg1-9
2025-10-21 01:42:27 status installed libsasl2-2:amd64 2.1.28+dfsg1-9
2025-10-21 01:42:27 configure libnghttp3-9:amd64 1.8.0-1 <none>
2025-10-21 01:42:27 status unpacked libnghttp3-9:amd64 1.8.0-1
2025-10-21 01:42:27 status half-configured libnghttp3-9:amd64 1.8.0-1
2025-10-21 01:42:27 status installed libnghttp3-9:amd64 1.8.0-1
2025-10-21 01:42:27 configure libffi8:amd64 3.4.8-2 <none>
2025-10-21 01:42:27 status unpacked libffi8:amd64 3.4.8-2
2025-10-21 01:42:27 status half-configured libffi8:amd64 3.4.8-2
2025-10-21 01:42:27 status installed libffi8:amd64 3.4.8-2
2025-10-21 01:42:27 configure libassuan9:amd64 3.0.2-2 <none>
2025-10-21 01:42:27 status unpacked libassuan9:amd64 3.0.2-2
2025-10-21 01:42:27 status half-configured libassuan9:amd64 3.0.2-2
2025-10-21 01:42:27 status installed libassuan9:amd64 3.0.2-2
2025-10-21 01:42:27 configure libtasn1-6:amd64 4.20.0-2 <none>
2025-10-21 01:42:27 status unpacked libtasn1-6:amd64 4.20.0-2
